अंशय
अंशयत
अंशयतम्
अंशयतः
अंशयताम्
अंशयति
अंशयतु
अंशयथ
अंशयथः
अंशयन्ति
अंशयन्तु
अंशयसि
अंशयानि
अंशयाम
अंशयामः
अंशयामि
अंशयाव
अंशयावः
अंशयिता
अंशयितारः
अंशयितारौ
अंशयितासि
अंशयितास्थ
अंशयितास्थः
अंशयितास्मः
अंशयितास्मि
अंशयितास्वः
अंशयिष्यतः
अंशयिष्यति
अंशयिष्यते
अंशयिष्यथ
अंशयिष्यथः
अंशयिष्यध्वे
अंशयिष्यन्ति
अंशयिष्यन्ते
अंशयिष्यसि
अंशयिष्यसे
अंशयिष्यामः
अंशयिष्यामहे
अंशयिष्यामि
अंशयिष्यावः
अंशयिष्यावहे
अंशयिष्ये
अंशयिष्येते
अंशयिष्येथे
अंशयेत्
अंशयेत
अंशयेतम्
अंशयेताम्
अंशयेम
अंशयेयम्
अंशयेयुर्
अंशयेव
अंशयेः
अकण्डयत्
अकण्डयत
अकण्डयतम्
अकण्डयताम्
अकण्डयथाः
अकण्डयध्वम्
अकण्डयन्
अकण्डयन्त
अकण्डयम्
अकण्डयः
अकण्डयाम
अकण्डयामहि
अकण्डयाव
अकण्डयावहि
अकण्डये
अकण्डयेताम्
अकण्डयेथाम्
अकण्डूयत्
अकण्डूयत
अकण्डूयतम्
अकण्डूयताम्
अकण्डूयथाः
अकण्डूयध्वम्
अकण्डूयन्
अकण्डूयन्त
अकण्डूयम्
अकण्डूयः
अकण्डूयाम
अकण्डूयामहि
अकण्डूयाव
अकण्डूयावहि
अकण्डूये
अकण्डूयेताम्
अकण्डूयेथाम्
अकण्ड्यत
अकण्ड्यथाः
अकण्ड्यध्वम्
अकण्ड्यन्त
अकण्ड्यामहि
अकण्ड्यावहि
अकण्ड्ये
अकण्ड्येताम्
अकण्ड्येथाम्
अकण्वायत
अकण्वायथाः
अकण्वायध्वम्
अकण्वायन्त
अकण्वायामहि
अकण्वायावहि
अकण्वाये
अकण्वायेताम्
अकण्वायेथाम्
अकत्थत
अकत्थथाः
अकत्थध्वम्
अकत्थन्त
अकत्थामहि
अकत्थावहि
अकत्थे
अकत्थेताम्
अकत्थेथाम्
अकत्थ्यत
अकत्थ्यथाः
अकत्थ्यध्वम्
अकत्थ्यन्त
अकत्थ्यामहि
अकत्थ्यावहि
अकत्थ्ये
अकत्थ्येताम्
अकत्थ्येथाम्
अकथयत्
अकथयत
अकथयतम्
अकथयताम्
अकथयथाः
अकथयध्वम्
अकथयन्
अकथयन्त
अकथयम्
अकथयः
अकथयाम
अकथयामहि
अकथयाव
अकथयावहि
अकथये
अकथयेताम्
अकथयेथाम्
अकथ्यत
अकथ्यथाः
अकथ्यध्वम्
अकथ्यन्त
अकथ्यामहि
अकथ्यावहि
अकथ्ये
अकथ्येताम्
अकथ्येथाम्
अकदर्थयत्
अकदर्थयत
अकदर्थयतम्
अकदर्थयताम्
अकदर्थयन्
अकदर्थयम्
अकदर्थयः
अकदर्थयाम
अकदर्थयाव
अकनिध्वम्
अकनिषत
अकनिषाताम्
अकनिषाथाम्
अकनिषि
अकनिष्ट
अकनिष्ठाः
अकनिष्महि
अकनिष्वहि
अकम्पत
अकम्पथाः
अकम्पध्वम्
अकम्पन्त
अकम्पयत्
अकम्पयत
अकम्पयतम्
अकम्पयताम्
अकम्पयथाः
अकम्पयध्वम्
अकम्पयन्
अकम्पयन्त
अकम्पयम्
अकम्पयः
अकम्पयाम
अकम्पयामहि
अकम्पयाव
अकम्पयावहि
अकम्पये
अकम्पयेताम्
अकम्पयेथाम्
