अंशकतः
अंशतः
अंशयितुम्
अंशयित्वा
अंशुतः
अंसतः
अंसदघ्नतः
अंसलतः
अंस्यतः
अंहुतः
अंह्रिपतः
अकर्मकतः
अकारतः
अकूपारतः
अक्तुतः
अक्त्वा
अक्त्वा
अक्षतः
अक्षपरि
अक्षितुम्
अक्ष्नया
अखण्डपदस्फोटतः
अगतः
अगद्यितुम्
अगद्यित्वा
अगस्त्यतः
अगारतः
अग्निमयतः
अग्निष्टोमतः
अग्नीषोमतः
अग्नीषोमीयतः
अग्रजतः
अग्रतः
अग्रशः
अग्रसेनतः
अग्रहायणतः
अग्रुतः
अग्र्यतः
अघतः
अघायितुम्
अघायित्वा
अघ्न्यतः
अङ्कतः
अङ्कयितुम्
अङ्कयित्वा
अङ्कुरतः
अङ्कुशतः
अङ्कोलकतः
अङ्कोलतः
अङ्कोल्लतः
अङ्क्तुम्
अङ्खयितुम्
अङ्खयित्वा
अङ्ग
अङ्गजतः
अङ्गतः
अङ्गमेजयतः
अङ्गारकतः
अङ्गारतः
अङ्गारिकतः
अङ्गारितः
अङ्गितुम्
अङ्गित्वा
अङ्गुरितः
अङ्गुरीयतः
अङ्गुलतः
अङ्गुलितः
अङ्गुलिमालतः
अङ्गुलिषङ्गतः
अङ्गुलीयतः
अङ्गुष्ठतः
अच्छ
अच्छतः
अच्युतप्रेक्षतः
अजगवतः
अजतः
अजतः
अजरामरवत्
अजातलोमतः
अजामिलतः
अजितुम्
अजित्वा
अजिरतः
अजिरायितुम्
अजिरायित्वा
अजीगर्ततः
अज्झलतः
अञ्चयितुम्
अञ्चयित्वा
अञ्चलतः
अञ्चितुम्
अञ्चित्वा
अञ्जःसवतः
अञ्जनतः
अञ्जयितुम्
अञ्जयित्वा
अञ्जलिकतः
अञ्जः
अञ्जसतः
अञ्जितुम्
अञ्जित्वा
अटितुम्
अटित्वा
अट्टतः
अणकतः
अणुतः
अण्डजतः
अतः
अतसतः
अति
अतिकान्ततः
अतिकायतः
अतिक्रमतः
अतिखट्वतः
अतिगतितः
अतिचारतः
अतितराम्
अतितापतः
अतितुम्
अतित्वा
अतिथिग्वतः
अतिथिषत्कारतः
अतिदुर्वृत्ततः
अतिदुष्करतः
अतिदूरतः
अतिदेशतः
अतिधार्मिकतः
अतिनिद्रतः
अतिपत्तितः
अतिपरुषतः
अतिपापतः
अतिप्रसङ्गतः
अतिप्रियतः
अतिबलतः
अतिबोधिसत्त्वतः
अतिभारतः
अतिमधुरतः
अतिमात्रतः
अतिमानुषतः
अतिमारुततः
अतिमार्गतः
अतिमुक्तकतः
अतिमुक्ततः
अतियोगतः
अतिरक्ततः
अतिरथतः
अतिरात्रतः
अतिलाघवतः
अतिवादतः
अतिविस्तरतः
अतिविस्तृततः
अतिवृत्तितः
अतिवृद्धप्रपितामहतः
अतिवृद्धप्रमातामहतः
अतिवृष्टितः
अतिव्याप्तितः
अतिशयतः
अतिश्रमतः
अतिसक्तितः
अतिसञ्चयतः
अतिसन्तुष्टतः
अतिसर्गतः
अतिसारतः
अतीन्द्रियतः
अतीव
अतीसारतः
अतुल्यतः
अत्तुम्
अत्त्वा
अत्यग्निष्टोमतः
अत्यन्ततः
अत्यायतः
अत्युग्रतः
अत्र
अथ
अद्भुततः
अद्य
अद्रोघतः
अध
अधःशाखतः
अधमतः
अधश्चरणम्
अधश्चरणावपाततः
अधः
अधस्तात्
अधा
अधि
अधिकतः
अधिकरणिकतः
अधिकारतः
अधिज्यतः
अधिदेवतः
अधिदैविकतः
अधिपतः
अधिमासतः
अधिमुक्तितः
अधियज्ञतः
अधिरथतः
अधिराजतः
अधिवासतः
अधिवासतः
अधिवासिततः
अधिषवण्यतः
अधिसीमकृष्णतः
अधीकारतः
अधीशतः
अधुना
अधोक्षजतः
अधोक्षतः
