अंशयितुम्
अंश्य
अक्य
अक्षितुम्
अगद्य
अगद्यितुम्
अघायितुम्
अघ्य
अङ्कयितुम्
अङ्क्तुम्
अङ्क्य
अङ्खयितुम्
अङ्ख्य
अङ्गितुम्
अङ्ग्य
अच्य
अजितुम्
अजिरायितुम्
अजिर्य
अज्य
अज्य
अञ्चयितुम्
अञ्चितुम्
अञ्च्य
अञ्जयितुम्
अञ्जितुम्
अञ्ज्य
अटितुम्
अट्य
अतितुम्
अत्तुम्
अत्य
अद्य
अध्वरीयितुम्
अध्वर्य
अध्वर्यितुम्
अनितुम्
अनिनिषितुम्
अनिनिष्य
अन्धयितुम्
अन्ध्य
अन्य
अप्सरय
अप्सरायितुम्
अभ्रायितुम्
अभ्र्य
अमित्रयितुम्
अमित्र्य
अमीतुम्
अरिरिषितुम्
अरिरिष्य
अर्चयितुम्
अर्चय्य
अर्चिचिषितुम्
अर्चिचिष्य
अर्चितुम्
अर्च्य
अर्जयितुम्
अर्जितुम्
अर्ज्य
अर्तुम्
अर्थयितुम्
अर्थापयितुम्
अर्थ्य
अर्थ्य
अर्दितुम्
अर्द्य
अर्धयितुम्
अर्धय्य
अर्धितुम्
अर्पयितुम्
अर्पय्य
अर्षितुम्
अर्हयितुम्
अर्हितुम्
अर्ह्य
अवितुम्
अव्य
अशनायितुम्
अशनीयितुम्
अशन्य
अशितुम्
अशितुम्
अश्य
अश्य
अश्वस्यितुम्
अश्वायितुम्
अश्व्य
अष्टुम्
असितुम्
असितुम्
असूयितुम्
असूय्य
अस्य
आकर्णयितुम्
आकर्ण्य
आकुलयितुम्
आकुल्य
आदयितुम्
आद्य
आनयितुम्
आन्दोलयितुम्
आन्दोल्य
आन्य
आन्य
आपयितुम्
आपय्य
आप्तुम्
आप्य
आमयितुम्
आम्य
आवयितुम्
आविलयितुम्
आविल्य
आव्य
आशयितुम्
आश्य
आसम्
आसयितुम्
आसयितुम्
आसितुम्
आस्य
आस्य
इङ्गयितुम्
इङ्ग्य
इज्य
इत्य
इध्य
इन्दितुम्
इन्द्य
इन्धितुम्
इन्य
इन्वितुम्
इन्व्य
इरय
इरस्यितुम्
इलयितुम्
इल्य
इषयितुम्
इषयितुम्
इषुध्य
इषुध्यितुम्
इष्य
इष्य
ईक्षितुम्
ईक्ष्य
ईङ्खयितुम्
ईङ्खितुम्
ईङ्ख्य
ईडितुम्
ईड्य
ईप्सितुम्
ईप्स्य
ईरयितुम्
ईरितुम्
ईर्य
ईर्षितुम्
ईर्ष्य
ईशितुम्
ईश्य
ईषितुम्
ईष्य
ईहितुम्
ईह्य
उक्षितुम्
उक्ष्य
उचितुम्
उच्य
उच्य
उज्झितुम्
उज्झ्य
उञ्छितुम्
उञ्छ्य
उत्कण्ठयितुम्
उत्कण्ठितुम्
उत्कण्ठ्य
उत्कयितुम्
उत्क्य
उदकीयितुम्
उदक्य
उदन्यितुम्
उदय
उद्य
उद्य
उन्दितुम्
उन्द्य
उन्मनय
उन्मनायितुम्
उप्य
उप्य
उभ्य
उम्भितुम्
उय
उरय
उरस्यितुम्
उरुष्य
उरोषितुम्
उषय
उषस्यितुम्
उष्य
उष्य
उष्य
उह्य
ऊय
ऊर्जयितुम्
ऊर्ज्य
ऊष्मय
ऊष्मायितुम्
ऊहितुम्
ऊह्य
ऋत्य
ऋध्य
ऋष्य
एजयितुम्
एजितुम्
एज्य
एतुम्
एधयितुम्
एधितुम्
एध्य
एनितुम्
एलयितुम्
एलितुम्
एल्य
एषितुम्
एषितुम्
एष्टुम्
ओषितुम्
कण्डयितुम्
कण्डूयितुम्
कण्ड्य
कण्ड्य
कण्वायितुम्
कण्व्य
कत्थितुम्
कत्थ्य
कथयितुम्
कथय्य
कदर्थयितुम्
कदर्थ्य
कम्पयितुम्
कम्पितुम्
कम्प्य
करितुम्
करीतुम्
करुणायितुम्
करुण्य
कर्णयितुम्
कर्ण्य
कर्तितुम्
कर्तुम्
कर्त्तुम्
कर्त्य
कर्त्रीयितुम्
कर्पितुम्
कर्प्तुम्
कर्शयितुम्
कर्शितुम्
कर्श्य
कर्षयितुम्
कर्ष्टुम्
कर्ष्य
कलङ्कयितुम्
कलङ्क्य
कलयितुम्
कलय्य
कलहायितुम्
कलह्य
कलुषयितुम्
कलुषायितुम्
कलुष्य
कल्पयितुम्
कल्पय्य
कल्पितुम्
कल्प्तुम्
कवलयितुम्
कवल्य
कवितुम्
कवीयितुम्
कव्य
कषितुम्
कष्टायितुम्
कष्ट्य
कष्य
कसितुम्
कस्य
काङ्क्षितुम्
काङ्क्ष्य
कामयितुम्
काम्य
कारम्
कारयितुम्
कार्य
कालयितुम्
कालय्य
काशयितुम्
काशितुम्
काश्य
काषम्
काषयितुम्
काष्य
कासयितुम्
कास्य
कीर्तयितुम्
कीर्त्य
कीर्य
कीलितुम्
कील्य
कुच्य
कुञ्चयितुम्
कुञ्च्य
कुट्टयितुम्
कुट्ट्य
कुट्य
कुण्ठितुम्
कुण्ठ्य
कुण्डयितुम्
कुण्डितुम्
कुण्ड्य
कुत्सयितुम्
कुत्सितुम्
कुत्स्य
कुन्थितुम्
कुन्थ्य
कुप्य
कुल्य
कुसुमयितुम्
कुसुम्य
कूजितुम्
कूज्य
कूय
कृच्छ्रायितुम्
कृच्छ्र्य
कृत्य
कृत्य
कृपयितुम्
कृप्य
कृश्य
कृष्य
कॢप्य
केलायितुम्
केल्य
कोचितुम्
कोटितुम्
कोपितुम्
कोलितुम्
क्रन्तुम्
क्रन्दितुम्
क्रन्द्य
क्रमयितुम्
क्रमय्य
क्रमितुम्
क्रम्य
क्रष्टुम्
क्रापयितुम्
क्राप्य
क्रामम्
क्रामयितुम्
क्रामय्य
क्रीडयितुम्
क्रीडितुम्
क्रीड्य
क्रीय
क्रुच्य
क्रुञ्चितुम्
क्रुध्य
क्रुश्य
क्रेतुम्
क्रोद्धुम्
क्रोधयितुम्
क्रोध्य
क्रोष्टुम्
क्लमितुम्
क्लम्य
क्लवितुम्
क्लव्य
क्लामयितुम्
क्लाम्य
क्लिन्य
क्लिश्य
क्लीबत्य
क्लीबायितुम्
क्लीबेतुम्
क्लीब्य
क्लेत्तुम्
क्लेदयितुम्
क्लेदितुम्
क्लेद्य
क्लेशयितुम्
क्लेशितुम्
क्लेश्य
क्वथितुम्
क्वथ्य
क्वाथयितुम्
क्वाथ्य
क्षदितुम्
क्षद्य
क्षनितुम्
क्षन्तुम्
क्षपयितुम्
क्षपितुम्
क्षप्य
क्षप्य
क्षमयितुम्
क्षमितुम्
क्षम्य
क्षय
क्षयितुम्
क्षरितुम्
क्षर्य
क्षवितुम्
क्षाण्य
क्षामयितुम्
क्षाम्य
क्षालयितुम्
क्षाल्य
क्षिप्य
क्षीत्य
क्षीय
क्षीरस्यितुम्
क्षीर्य
क्षुत्य
क्षुद्य
क्षुध्य
क्षुभ्य
क्षेतुम्
क्षेतुम्
क्षेपयितुम्
क्षेप्तुम्
क्षेप्य
क्षोत्तुम्
क्षोद्धुम्
क्षोभयितुम्
क्षोभितुम्
क्षोभ्य
क्ष्वेडयितुम्
क्ष्वेडितुम्
क्ष्वेड्य
