अदः
अधरया
अधरयोः
अधरस्याम्
अधरस्याः
अधरस्यै
अधरा
अधराभिः
अधराभ्यः
अधराभ्याम्
अधराम्
अधराः
अधरासाम्
अधरासु
अधरे
अनया
अनयोः
अनेकया
अनेकयोः
अनेकस्याम्
अनेकस्याः
अनेकस्यै
अनेका
अनेकाभिः
अनेकाभ्यः
अनेकाभ्याम्
अनेकाम्
अनेकाः
अनेकासाम्
अनेकासु
अनेके
अनेन
अन्तरया
अन्तरयोः
अन्तरस्याम्
अन्तरस्याः
अन्तरस्यै
अन्तरा
अन्तराभिः
अन्तराभ्यः
अन्तराभ्याम्
अन्तराम्
अन्तराः
अन्तरासाम्
अन्तरासु
अन्तरे
अन्यत्
अन्यम्
अन्यया
अन्ययोः
अन्यः
अन्यस्मात्
अन्यस्मिन्
अन्यस्मै
अन्यस्य
अन्यस्याम्
अन्यस्याः
अन्यस्यै
अन्या
अन्यान्
अन्यानि
अन्याभिः
अन्याभ्यः
अन्याभ्याम्
अन्याम्
अन्याः
अन्यासाम्
अन्यासु
अन्ये
अन्येन
अन्येभ्यः
अन्येषाम्
अन्येषु
अन्यैः
अन्यौ
अपरया
अपरयोः
अपरस्याम्
अपरस्याः
अपरस्यै
अपरा
अपराभिः
अपराभ्यः
अपराभ्याम्
अपराम्
अपराः
अपरासाम्
अपरासु
अपरे
अमी
अमीभिः
अमीभ्यः
अमीषाम्
अमीषु
अमुना
अमुम्
अमुया
अमुयोः
अमुष्मात्
अमुष्मिन्
अमुष्मै
अमुष्य
अमुष्याम्
अमुष्याः
अमुष्यै
अमू
अमून्
अमूनि
अमूभिः
अमूभ्यः
अमूभ्याम्
अमूम्
अमूषाम्
अमूषु
अमूः
अयम्
अवरया
अवरयोः
अवरस्याम्
अवरस्याः
अवरस्यै
अवरा
अवराभिः
अवराभ्यः
अवराभ्याम्
अवराम्
अवराः
अवरासाम्
अवरासु
अवरे
असौ
अस्मत्
अस्मत्तः
अस्मभ्यम्
अस्माकम्
अस्मात्
अस्मान्
अस्माभिः
अस्मासु
अस्मिन्
अस्मै
अस्य
अस्याम्
अस्याः
अस्यै
अहम्
आभिः
आभ्यः
आभ्याम्
आवयोः
आवाभ्याम्
आवाम्
आसाम्
आसु
इतरत्
इतरम्
इतरया
इतरयोः
इतरः
इतरस्मात्
इतरस्मिन्
इतरस्मै
इतरस्य
इतरस्याम्
इतरस्याः
इतरस्यै
इतरा
इतराणि
इतरान्
इतराभिः
इतराभ्यः
इतराभ्याम्
इतराम्
इतराः
इतरासाम्
इतरासु
इतरे
इतरेण
इतरेभ्यः
इतरेषाम्
इतरेषु
इतरैः
इतरौ
इदम्
इमम्
इमान्
इमानि
इमाम्
इमाः
इमे
इमौ
इयम्
उत्तरया
उत्तरया
उत्तरयोः
उत्तरयोः
उत्तरस्याम्
उत्तरस्याम्
उत्तरस्याः
उत्तरस्याः
उत्तरस्यै
उत्तरस्यै
उत्तरा
उत्तरा
उत्तराभिः
उत्तराभिः
उत्तराभ्यः
उत्तराभ्यः
उत्तराभ्याम्
उत्तराभ्याम्
उत्तराम्
उत्तराम्
उत्तराः
उत्तराः
उत्तरासाम्
उत्तरासाम्
उत्तरासु
उत्तरासु
उत्तरे
उत्तरे
एकतरम्
एकतरया
एकतरयोः
एकतरः
एकतरस्मात्
एकतरस्मिन्
एकतरस्मै
एकतरस्य
एकतरस्याम्
एकतरस्याः
एकतरस्यै
एकतरा
एकतराणि
एकतरान्
एकतराभिः
एकतराभ्यः
एकतराभ्याम्
एकतराम्
एकतराः
एकतरासाम्
एकतरासु
एकतरे
एकतरेण
एकतरेभ्यः
एकतरेषाम्
एकतरेषु
एकतरैः
एकतरौ
एकम्
एकया
एकयोः
एकः
एकस्मात्
एकस्मिन्
एकस्मै
एकस्य
एकस्याम्
एकस्याः
एकस्यै
एका
एकान्
एकानि
एकाभिः
एकाभ्यः
एकाभ्याम्
एकाम्
एकाः
एकासाम्
एकासु
एके
एकेन
एकेभ्यः
एकेषाम्
एकेषु
एकैः
एकौ
एतत्
एततः
एतम्
एतया
एतयोः
एतस्मात्
एतस्मिन्
एतस्मै
एतस्य
एतस्याम्
एतस्याः
एतस्यै
एतान्
एतानि
एताभिः
एताभ्यः
एताभ्याम्
एताम्
एताः
एतासाम्
एतासु
एते
एतेन
एतेभ्यः
एतेषाम्
एतेषु
एतैः
एतौ
एनत्
एनम्
एनया
एनयोः
एनान्
एनानि
एनाम्
एनाः
एने
एनेन
एनौ
एभिः
एभ्यः
एष
एषः
एषा
एषाम्
एषु
कतमत्
कतमम्
कतमया
कतमयोः
कतमः
कतमस्मात्
कतमस्मिन्
कतमस्मै
कतमस्य
कतमस्याम्
कतमस्याः
कतमस्यै
कतमा
कतमान्
कतमानि
कतमाभिः
कतमाभ्यः
कतमाभ्याम्
कतमाम्
कतमाः
कतमासाम्
कतमासु
कतमे
कतमेन
कतमेभ्यः
कतमेषाम्
कतमेषु
कतमैः
कतमौ
कतरत्
कतरम्
कतरया
कतरयोः
कतरः
कतरस्मात्
कतरस्मिन्
कतरस्मै
कतरस्य
कतरस्याम्
कतरस्याः
कतरस्यै
कतरा
कतराणि
कतरान्
कतराभिः
कतराभ्यः
कतराभ्याम्
कतराम्
कतराः
कतरासाम्
कतरासु
कतरे
कतरेण
कतरेभ्यः
कतरेषाम्
कतरेषु
कतरैः
कतरौ
कम्
कया
कयोः
कः
कस्मात्
कस्मिन्
कस्मै
कस्य
कस्याम्
कस्याः
कस्यै
का
कान्
कानि
काभिः
काभ्यः
काभ्याम्
काम्
काः
कासाम्
कासु
किम्
के
केन
केभ्यः
केषाम्
केषु
कैः
कौ
तत्
ततः
तम्
तया
तयोः
तव
तस्मात्
तस्मिन्
तस्मै
तस्य
तस्याम्
तस्याः
तस्यै
तान्
तानि
ताभिः
ताभ्यः
ताभ्याम्
ताम्
ताः
तासाम्
तासु
तुभ्यम्
ते
ते
तेन
तेभ्यः
तेषाम्
तेषु
तैः
तौ
त्वत्
त्वत्तः
त्वम्
त्वया
त्वयि
त्वा
त्वाम्
दक्षिणम्
दक्षिणया
दक्षिणयोः
दक्षिणः
दक्षिणस्मात्
दक्षिणस्मिन्
दक्षिणस्मै
दक्षिणस्य
दक्षिणस्याम्
दक्षिणस्याः
दक्षिणस्यै
दक्षिणा
दक्षिणान्
दक्षिणानि
दक्षिणाभिः
दक्षिणाभ्यः
दक्षिणाभ्याम्
दक्षिणाम्
दक्षिणाः
दक्षिणासाम्
दक्षिणासु
दक्षिणे
दक्षिणेन
दक्षिणेभ्यः
दक्षिणेषाम्
दक्षिणेषु
दक्षिणैः
दक्षिणौ
नः
नौ
परया
परयोः
परस्याम्
परस्याः
परस्यै
परा
पराभिः
पराभ्यः
पराभ्याम्
पराम्
पराः
परासाम्
परासु
परे
पश्चिमया
पश्चिमयोः
पश्चिमस्याम्
पश्चिमस्याः
पश्चिमस्यै
पश्चिमा
पश्चिमाभिः
पश्चिमाभ्यः
पश्चिमाभ्याम्
पश्चिमाम्
पश्चिमाः
पश्चिमासाम्
पश्चिमासु
पश्चिमे
पूर्वया
पूर्वयोः
पूर्वस्याम्
पूर्वस्याः
पूर्वस्यै
पूर्वा
पूर्वाभिः
पूर्वाभ्यः
पूर्वाभ्याम्
पूर्वाम्
पूर्वाः
पूर्वासाम्
पूर्वासु
पूर्वे
मत्
मत्तः
मम
मया
मयि
मह्यम्
मा
माम्
मे
यत्
यम्
यया
ययोः
यः
यस्मात्
यस्मिन्
यस्मै
यस्य
यस्याम्
यस्याः
यस्यै
या
यान्
यानि
याभिः
याभ्यः
याभ्याम्
याम्
याः
यासाम्
यासु
युवयोः
युवाभ्याम्
युवाम्
युष्मत्
युष्मत्तः
युष्मभ्यम्
युष्माकम्
युष्मान्
युष्माभिः
युष्मासु
यूयम्
ये
येन
येभ्यः
येषाम्
येषु
यैः
यौ
वयम्
वः
वाम्
विश्वम्
विश्वया
विश्वयोः
विश्वः
विश्वस्मात्
विश्वस्मिन्
विश्वस्मै
विश्वस्य
विश्वस्याम्
विश्वस्याः
विश्वस्यै
विश्वा
विश्वान्
विश्वानि
विश्वाभिः
विश्वाभ्यः
विश्वाभ्याम्
विश्वाम्
विश्वाः
विश्वासाम्
विश्वासु
विश्वे
विश्वेन
विश्वेभ्यः
विश्वेषाम्
विश्वेषु
विश्वैः
विश्वौ
स
सर्वम्
सर्वया
सर्वयोः
सर्वः
सर्वस्मात्
सर्वस्मिन्
सर्वस्मै
सर्वस्य
सर्वस्याम्
सर्वस्याः
सर्वस्यै
सर्वा
सर्वाणि
सर्वान्
सर्वाभिः
सर्वाभ्यः
सर्वाभ्याम्
सर्वाम्
सर्वाः
सर्वासाम्
सर्वासु
सर्वे
सर्वेण
सर्वेभ्यः
सर्वेषाम्
सर्वेषु
सर्वैः
सर्वौ
सः
सा
स्वया
स्वयोः
स्वस्याम्
स्वस्याः
स्वस्यै
स्वा
स्वाभिः
स्वाभ्यः
स्वाभ्याम्
स्वाम्
स्वाः
स्वासाम्
स्वासु
स्वे
