पश्यत+
अत्के
अद्व॑याविनः
वृष्ण्ये॑न
अभवः
अवि॑न्देथाम्
होता
दुव॒स्यात्
गि॑रि॒ष्ठाः
तरः
वात॑चोदितः
परु॑षः
बृबू॑कम्
शर्मा॑णि
हृषी॑वतः
दूरेअन्ते
ऊ॒तिभिः
गू॒ऴम्
इ॑न्द्र॒वाहः
सच॑नाः
भृगु॑भिः
सम्पिं॒षन्ति
उ॒चथा॑नि
यत॑माने
शत॒सेया॑य
नम॒स्यैः
ज॑रि॒माणः
भिषजौ
आजा॑ता
स॑हस्रम्भ॒रः
वी॑ळु॒द्वेषाः
अर॒तौ
व॑र्तध्वम्
अनु॑ष्टुतिम्
स्वत॑वान्
नृ॒तमा॑नः
सखा
अद्म॒सदः
पृ॒क्षेण
विभृ॑ता
गातन
सद॑म्
अर॒क्षसा
मृळताम्
अ॑बुध्रन्
प्रचे॑तसा
स्याताम्
अ॒स्माके॑न
गछस्व
व॑रू॒थ्य॑म्
मेध॒युम्
स॒त्यध॑र्मा
माहि॑नायाः
सीदन्
औहत
विविक्तः
अ॑गन्म
जैत्री॑म्
घ॒नाः
ए॒तावा॑न्
द॒र्भासः
दशो॑ण्ये
वसु॑त्तये
अशेम
नय॑थ
रयि॒पतिः
पू॒र्व्याणि
वा॑स॒रीम्
आ॒भूषु
वि॒श्पला॑वसू
जेता
कुभ॑या
म॑र्मृ॒जेन्यः
अ॑स्म॒द्र्य॑क्
वर्त॒नी
धाम्ना
रा॑धाम
पृश्न॑यः
तुविजा॒तः
शक्ती॑वः
चर्षणी॒धृतः
भद्रवाचः
अर्वा॑न्
प्र॑ती॒ची
ब्र॒ह्माणः
प्रष्टि॑मतः
न
प्र॒वत्व॑तीः
भ॒रित्रैः
प्रणे॒तार॑म्
अह्र॑यः
कृ॒ष्णाध्वा
यजतु
त्वष्टुः
पु॒नन्ति
आ॒वर्वृ॑ततीः
अ॑श्विनौ
स्वसृ॑भिः
अति॑थिम्
वरु॑णयोः
शिशीहि
विश्पते
स्वस्ति॒मतः
अधी॑तौ
व॒त्से
अ॒मृता॑म्
ववन्दे
प्रसवी॒ता
पु॑ष्यसि
गृ॑भी॒ताः
पात्रा॑णि
रणे
पर्षत्
शू॒षैः
अज॑यः
स॒प्तगु॑म्
चा॒कनः
बन्धु॑मन्तम्
दे॒वाय
पु॑रु॒शाक॑तमा
अदत्तम्
चाकॢ॒प्रे
दु॒ष्टरी॑तु
वृ॒द्धसे॑नाः
विम॒मे
शि॒म्युम्
दुर्भृ॒तये
दुः॒शंस॑म्
व॑देम
सु॒ताव॑तः
स्वप॒त्याय
भ॒र्ता
कण्वे॑षु
सप॒र्यान्
पुरुश्च॒न्द्रस्य
पोप्रु॑थद्भिः
भु॑वः
दीदि॒वांस॑म्
वि॒वक्ष॑णस्य
तित्विषा॒णः
ऋ॒तम्
विव्र॑तेन
सिञ्चन्ति
धाम्ने
मृ॑ळतम्
अमा॒जुरः
के॒शिना
बु॒धि
शु॒म्भमा॑नाः
रुरुहुः
अर्व॑तीभिः
पू॒र्वहू॑तौ
दे॒वेभ्यः
नभो॒वित्
बि॒भय+
प्रवी॑रः
