अंशः
अंशम्
अंशवः
अंशवे
अंशा
अंशाः
अंशाय
अंशुः
अंशुना
अंशुभिः
अंशुमतीम्
अंशुमत्याः
अंशुम्
अंशोः
अंसत्रकोशम्
अंसत्रम्
अंसत्रा
अंसयोः
अंसाभ्याम्
अंसेषु
अंसौ
अंस्याः
अंहः
अंहतिः
अंहतिभ्यः
अंहतिम्
अंहसः
अंहसि
अंहांसि
अंहुरः
अंहूरणा
अंहूरणात्
अंहोः
अंहोमुचम्
अंहोयुवः
अकनिष्ठासः
अकरम्
अकर्
अकर्त
अकर्म
अकर्मा
अकल्पः
अकल्पयत्
अकल्पयन्
अकवाः
अकवाभिः
अकवारिम्
अकवारी
अकविषु
अकवेभिः
अकवैः
अकानिषम्
अकामकर्शनः
अकारि
अकारिषम्
अकारीत्
अकिरत्
अकुत्र+
अकुध्र्यक्
अकुमारः
अकूपारः
अकूपारस्य
अकृणुत
अकृणुत+
अकृणुतम्
अकृणुध्वम्
अकृणोः
अकृणोत
अकृणोतन
अकृणोतन+
अकृणोत्
अकृण्वत
अकृण्वन्
अकृत
अकृतः
अकृतम्
अकृता
अकृतात्
अकृते
अकृत्तरुक्
अकृथाः
अकृन्तत्
अकृपन्त
अकृपयत्
अकृपेताम्
अकृप्रन्
अकृषीवलाम्
अकेतवे
अक्तः
अक्तम्
अक्तवः
अक्तवे
अक्ता
अक्तुः
अक्तुना
अक्तुभिः
अक्तुभ्यः
अक्तुम्
अक्तुषु
अक्तून्
अक्तोः
अक्तौ
अक्रः
अक्रत
अक्रतुः
अक्रतून्
अक्रन्
अक्रन्दः
अक्रन्दत्
अक्रन्दयः
अक्रन्दयन्
अक्रपिष्ट
अक्रमिषम्
अक्रमीः
अक्रमीत्
अक्रमीम्
अक्रमुः
अक्रविहस्ता
अक्राः
अक्रान्
अक्रामत्
अक्रि
अक्रीळन्
अक्रुक्षत्
अक्रौ
अक्ष
अक्षः
अक्षण्वन्तः
अक्षण्वान्
अक्षतः
अक्षत्
अक्षन्
अक्षभिः
अक्षम्
अक्षरः
अक्षरत्
अक्षरन्
अक्षरम्
अक्षरा
अक्षराणाम्
अक्षरे
अक्षरेण
अक्षस्य
अक्षाः
अक्षाणि
अक्षानहः
अक्षार्
अक्षासः
अक्षि
अक्षिणाः
अक्षितम्
अक्षिता
अक्षितावसुम्
अक्षिति
अक्षिते
अक्षितोतयः
अक्षितोतिः
अक्षितोतिम्
अक्षिपत्
अक्षियन्तम्
अक्षी
अक्षीभ्याम्
अक्षीयमाणम्
अक्षीयमाणा
अक्षुः
अक्षे
अक्षेण
अक्षेत्रवित्
अक्षैः
अक्षोदयत्
अक्ष्णः
अक्ष्णयाध्रुक्
अक्ष्णयावानः
अखनन्तः
अखर्वम्
अखिदत्
अखिद्रयामभिः
अख्खलीकृत्य+
अख्यः
अख्यत
अख्यत्
अख्यन्
अख्यम्
अगछः
अगछत
अगछतम्
अगछत्
अगदम्
अगन्
अगन्म
अगन्महि
अगमत्
अगमम्
अगव्यूति
अगस्त्य
अगस्त्यः
अगस्त्यम्
अगस्त्यस्य
अगस्त्ये
अगस्महि
अगाः
अगात्
अगाम
अगामि
अगाम्
अगायत्
अगासिषुः
अगिरौकसः
अगुः
अगूहत्
अगूहन्
अगृधत्
अगृभीतः
अगृभीतशोचिषः
अगृभीतशोचिषम्
अगृभ्णत
अगृभ्णन्
अगृभ्णाः
अगृभ्णात्
अगृभ्रन्
अगोः
अगोतायै
अगोपाः
अगोपाम्
अगोरुधाय
अगोह्य
अगोह्यः
अगोह्यम्
अगोह्यस्य
अग्नयः
अग्नये
अग्ना
अग्नायी
अग्नायीम्
अग्निः
अग्निजिह्वाः
अग्नितपः
अग्नितपोभिः
अग्नितप्तेभिः
अग्नित्
अग्निदग्धाः
अग्निदूतः
अग्निधम्
अग्निधाने
अग्निना
अग्निभिः
अग्निभ्यः
अग्निभ्राजसः
अग्निमिन्धः
अग्निम्
अग्निम्ग्निम्
अग्निरूपाः
अग्निवान्
अग्निश्रियः
अग्निषु
अग्निष्वात्ताः
अग्निहोतारः
अग्नी
अग्नीनाम्
अग्नीन्
अग्नीपर्जन्यौ
अग्नीषोमा
अग्नीषोमौ
अग्ने
अग्नेः
अग्नौ
अग्मत
अग्मत+
अग्मन्
अग्रजाम्
अग्रणीतिम्
अग्रतः
अग्रभणे
अग्रभम्
अग्रभीत्
अग्रभीष्म
अग्रम्
अग्रम्ग्रम्
अग्रयावा
अग्रवः
अग्रा
अग्राद्वाना
अग्रिमा
अग्रियः
अग्रियम्
अग्रिया
अग्रुः
अग्रुवः
अग्रे
अग्रेगः
अग्रेपाः
अग्रेपाभिः
अग्रेषु
अघः
अघम्
अघशंसः
अघशंसम्
अघशंसस्य
अघशंसहा
अघशंसाय
अघशंसे
अघस्य
अघा
अघाः
अघात्
अघानाम्
अघानि
अघाय
अघायतः
अघायति
अघायते
अघायुः
अघायोः
अघाश्वाय
अघासु
अघुक्षत्
अघोरचक्षुः
अघ्नतः
अघ्नता
अघ्नते
अघ्न्यम्
अघ्न्यस्य
अघ्न्या
अघ्न्याः
अघ्न्यानाम्
अघ्न्याभ्यः
अघ्न्याम्
अघ्न्यायाः
अघ्न्ये
अघ्न्यौ
अङ्कसम्
अङ्कांसि
अङ्काः
अङ्की
अङ्कुशः
अङ्कुशम्
अङ्कुशिनः
अङ्कूयन्तम्
अङ्क्ते
अङ्ग
अङ्गम्
अङ्गम्ङ्गम्
अङ्गाद्ङ्गात्
अङ्गानि
अङ्गाराः
अङ्गिरः
अङ्गिरसः
अङ्गिरसाम्
अङ्गिरस्तम
अङ्गिरस्तमः
अङ्गिरस्तमम्
अङ्गिरस्तमा
अङ्गिरस्वत्
अङ्गिरस्वन्तौ
अङ्गिरस्वान्
अङ्गिराः
अङ्गिरे
अङ्गिरोभिः
अङ्गिरोभ्यः
अङ्गेभिः
अङ्गैः
अङ्ग्धि
अङ्ग्ध्वे
अङ्ग्याः
अङ्धि
अच
अच+
अचक्रत्
अचक्रम्
अचक्रया
अचक्रिरन्
अचक्रे
अचक्रेभिः
अचक्षत
अचक्षयत्
अचचक्षम्
अचथः
अचरः
अचरत्
अचरन्
अचरन्ती
अचरमाः
अचरम्
अचष्ट
अचाकशम्
अचामि
अचारिषम्
अचिकितत्
अचिकित्वान्
अचिकेत्
अचिक्रदः
अचिक्रदत्
अचिक्रदन्
अचितः
अचितम्
अचिते
अचित्तम्
अचित्तात्
अचित्तान्
अचित्तिः
अचित्तिभिः
अचित्तिम्
अचित्ती
अचित्रम्
अचित्रे
अचिध्वम्
अचीकृषम्
अचुक्रुधत्
अचुच्यवीतन
अचुच्यवीत्
अचुच्यवुः
अचेतत्
अचेतयत्
अचेतसः
अचेतसम्
अचेताः
अचेतानस्य
अचेति
अचेत्
अचैत्
अचोदते
अचोदयः
अचोदयत्
अचोदसः
अच्यन्त
अच्यावयत्
अच्युतः
अच्युतच्युत्
अच्युतम्
अच्युता
अच्युताः
अच्युतानाम्
अच्युतानि
अछ
अछ+
अछदयन्
अछान्
अछान्त
अछान्त्सुः
अछायः
अछिद्यमानया
अछिद्रम्
अछिद्रस्य
अछिद्रा
अछिद्राः
अछिद्रोतिः
अछिद्रोध्नी
अछिन्नपत्राः
अछेदि
अछोक्तिभिः
अछोक्तौ
अज
अज+
अजः
अजकावम्
