अ
अं
अंकार
अंघ्रिबला
अंश
अंशक
अंशकला
अंशप्रकल्पना
अंशभागिन्
अंशवन्त्
अंशांश
अंशावतरण
अंशिका
अंशिन्
अंशु
अंशुक
अंशुपट्ट
अंशुपत्त्रिका
अंशुमती
अंशुमत्फला
अंशुमन्त्
अंशुमालिन्
अंस
अंसक
अंसकूट
अंसपीठ
अंसफलक
अंहस्
अः
अक
अकच्
अकटुक
अकण्टक
अकण्टकिन्
अकण्ठ्य
अकत्थन
अकत्थमान
अकथ
अकथन
अकथनकथा
अकथनीय
अकथयन्त्
अकथयमान
अकथित
अकथ्य
अकदर्य
अकनिष्ठ
अकनिष्ठक
अकन्या
अकपि
अकपिल
अकफ
अकम्प
अकम्पन
अकम्पनीय
अकम्पन्त्
अकम्पित
अकम्प्य
अकर
अकरण
अकरणक
अकरणीय
अकराल
अकरुण
अकर्कर
अकर्कश
अकर्ण
अकर्णधार
अकर्णविद्धिका
अकर्णिक
अकर्तव्य
अकर्तव्यता
अकर्तुम्
अकर्तृ
अकर्तृक
अकर्दम
अकर्मक
अकर्मण्य
अकर्मन्
अकल
अकलङ्क
अकलना
अकला
अकलित
अकलुष
अकलुषत्व
अकल्क
अकल्प
अकल्पित
अकल्मष
अकल्य
अकल्याण
अकवच
अकवि
अकषाय
अकष्ट
अकस्मात्
अकाङ्क्षिन्
अकाण्ड
अकातर
अकान्ति
अकापुरुष
अकाम
अकामतस्
अकामयान
अकामवन्त्
अकामहत
अकामिन्
अकाम्य
अकाय
अकार
अकारक
अकारण
अकारणक
अकारणवन्त्
अकारित
अकारुण्य
अकार्त्स्न्य
अकार्पण्य
अकार्य
अकार्यक
अकाल
अकालिक
अकालिकम्
अकाल्य
अकाष्ठ
अकिंचनवच
अकिंचित्कर
अकिंचित्करता
अकिंचित्करत्व
अकिंचित्कारिन्
अकिञ्चन
अकिल्बिष
अकीर्तन
अकीर्ति
अकीर्तित
अकुञ्चित
अकुटिल
अकुट्टिम
अकुण्ठ
अकुण्ठधिष्ण्य
अकुण्ठित
अकुण्डल
अकुण्डलिन्
अकुतश्चित्
अकुतश्चिद्भय
अकुतस्
अकुतूहल
अकुतोभय
अकुत्सयन्त्
अकुत्सा
अकुत्सित
अकुथित
अकुपित
अकुप्य
अकुप्यन्त्
अकुर्वन्त्
अकुर्वाण
अकुल
अकुलक
अकुलीन
अकुशल
अकुशलमति
अकुशलमूल
अकुसीद
अकुसुम
अकुह
अकुहक
अकूजन
अकूजन्त्
अकूट
अकूटक
अकूपार
अकृच्छ्र
अकृत
अकृतक
अकृतघ्न
अकृतज्ञ
अकृतबुद्धि
अकृतव्रण
अकृतात्मन्
अकृतार्थ
अकृताश्व
अकृतास्त्र
अकृतास्त्रक
अकृतिक
अकृत्य
अकृत्रिम
अकृत्वा
अकृत्स्न
अकृपण
अकृश
अकृषन्त्
अकृषिन्
अकृष्ट
अकृष्टपच्य
अकृष्ण
अकृष्य
अकेतन
अकेवल
अकेश
अकैतव
अकोपन
अकोपयन्त्
अकोमल
अकोविद
अकोश
अकौशल
अकौशल्य
अक्तक
अक्रतु
अक्रम
अक्रव्याद
अक्रिय
अक्रियक
अक्रियमाण
अक्रिया
अक्रियावन्त्
अक्रीणन्त्
अक्रीत
अक्रुद्ध
अक्रुध्यन्त्
अक्रूर
अक्रूरेश्वर
अक्रेतृ
अक्रोध
अक्रोधन
अक्लान्त
अक्लिन्न
अक्लिन्नवर्त्मन्
अक्लिष्ट
अक्लीब
अक्लेद
अक्लेदिन्
अक्लेद्य
अक्लेश
अक्वथित
अक्ष
अक्षक
अक्षगन्धिनी
अक्षचरण
अक्षज
अक्षण
अक्षणिक
अक्षणित्व
अक्षत
अक्षतण्डुला
अक्षतयोनि
अक्षतरोग
अक्षता
अक्षति
अक्षत्र
अक्षत्रिय
अक्षदण्ड
अक्षधूर्त
अक्षप
अक्षपटल
अक्षपाद
अक्षपित
अक्षपीड
अक्षपीडा
अक्षफल
अक्षभूमि
अक्षम
अक्षममाण
अक्षमा
अक्षमाला
अक्षमावन्त्
अक्षमिन्
अक्षय
अक्षयगुण
अक्षयता
अक्षयतृतीयका
अक्षयवट
अक्षयिन्
अक्षय्य
अक्षर
अक्षरमुष्टिका
अक्षरा
अक्षरिन्
अक्षवती
अक्षसूत्र
अक्षस्तुष
अक्षहृदय
अक्षान्त
अक्षान्ति
अक्षाम
अक्षार
अक्षारलवण
अक्षालित
अक्षि
अक्षिक
अक्षिकूट
अक्षिकोश
अक्षिगत
अक्षिण्वन्त्
अक्षित
अक्षिता
अक्षिपाकात्यय
अक्षिपीलु
अक्षिभेषज
अक्षिभैषज्य
अक्षिभ्रुव
अक्षिमन्त्
अक्षिरोग
अक्षिसंतर्जन
अक्षिस्यन्द
अक्षी
अक्षीण
अक्षीब
अक्षीयमाण
अक्षीर
अक्षुण्ण
अक्षुद्र
अक्षुद्रा
अक्षुब्ध
अक्षेत्र
अक्षेत्रिन्
अक्षेत्रीकरण
अक्षेम
अक्षोट
अक्षोड
अक्षोभ
अक्षोभ्य
अक्षौद्र
अक्षौहिणी
अक्ष्
अक्ष्ण
अक्ष्णया
अखट्व
अखण्ड
अखण्डद्वादशी
अखण्डद्वादशीव्रतकथन
अखण्डन
अखण्डित
अखण्ड्य
अखर्व
अखात
अखादन्त्
अखिन्न
अखिल
अखिलात्मन्
अखिलीकृ
अखिलेन
अखेद
अखेदित
अख्याति
अग
अगच्छन्त्
अगज
अगजावल्लभ
अगणित
अगणेय
अगण्य
अगण्यमान
अगत
अगति
अगतिक
अगतीक
अगत्वर
अगत्वा
अगद
अगदंकर
अगदंकार
अगन्तृ
अगन्ध
अगन्धर्व
अगन्धिक
अगम
अगमन
अगम्भीर
अगम्य
अगम्या
अगम्यागमनीय
अगरीयस्
अगरु
अगर्भ
अगर्भक
अगर्भिन्
अगर्व
अगर्व्य
अगर्हणीय
अगर्हा
अगर्हित
अगर्ह्य
अगलित
अगव
अगस्ति
अगस्तिक
अगस्त्य
अगस्त्यतीर्थ
अगस्त्यसंहिता
अगस्त्यार्घ्य
अगस्त्यार्घ्यव्रत
अगस्त्येश
अगस्त्येश्वर
अगस्त्येश्वरतीर्थमाहात्म्यवर्णन
अगस्त्योदय
अगह्वर
अगाढ
अगाध
अगान्धर्व
अगार
अगारक
अगारदाहिन्
अगारधूम
अगारिक
अगुण
अगुणवन्त्
अगुप्त
अगुरु
अगुरुक
अगुह्य
अगूढ
अगूढगन्ध
अगृद्धि
अगृह
अगृहीत
अगृह्णन्त्
अगृह्य
अगृह्यमाण
अगो
अगोचर
अगोचरत्व
अगोचरेण
अगोत्र
अगोत्रचरण
अगोत्रा
अगोप
अगोपयन्त्
अगोपाल
अगोप्तृ
अगौर
अगौरव
अग्नायी
अग्नि
अग्निक
अग्निकण
अग्निकर्णिका
अग्निकर्मन्
अग्निकर्मविधि
अग्निका
अग्निकार्य
अग्निकाष्ठ
अग्निकीट
अग्निकुण्ड
अग्निकुमार
अग्निकुमारक
अग्निकेतु
अग्निकोण
अग्निगर्भ
अग्निगर्भा
अग्निगृह
अग्निचित्या
अग्निज
अग्निजार
अग्निजारक
अग्निजिह्वक
अग्निजिह्वा
अग्निज्वाल
अग्निज्वाला
अग्निता
अग्नितीर्थ
अग्नितीर्थमाहात्म्यवर्णन
अग्नितुण्डवटी
अग्नितुण्डा
अग्नितेजस्
अग्नित्रय
अग्नित्रेता
अग्निद
अग्निदग्ध
अग्निदमनी
अग्निदाह
अग्निदिश्
अग्निदीप्ता
अग्निदीप्ति
अग्निधमन
अग्निधारा
अग्निनक्र
अग्निनिर्यास
अग्निपर्णी
अग्निपर्वत
अग्निपादप
अग्निपुष्पिका
अग्निप्रभा
अग्निप्रवेश
अग्निप्रवेशन
अग्निफला
अग्निबद्ध
अग्निबन्ध
अग्निबाहु
अग्निमथन
अग्निमन्त्
अग्निमन्थ
अग्निमन्थक
अग्निमन्थन
अग्निमान्द्य
अग्निमुख
अग्निमुखी
अग्निरस
अग्निरसतीर्थमाहात्म्यवर्णन
अग्निरोहिणी
अग्निवक्त्रक
अग्निवक्त्रा
अग्निवर्ण
अग्निवर्णा
अग्निवल्लभ
अग्निवासस्
अग्निवाह
अग्निविसर्प
अग्निवीसर्प
अग्निवृद्धि
अग्निवेल्ल
अग्निवेश
अग्निवेश्य
अग्निव्रत
अग्निशाला
अग्निशिख
अग्निशिखा
अग्निशिरस्
अग्निषङ्ग
अग्निषोम
अग्निष्ट
अग्निष्टक
अग्निष्टुत्
अग्निष्टोम
अग्निष्णु
अग्निष्वात्त
अग्निसंस्कार
अग्निसंस्पर्शा
अग्निसप्रभा
अग्निसम्भव
अग्निसहाय
अग्निसात्
अग्निसाद
अग्निसार
अग्निसेखर
अग्निसोमयन्त्र
अग्निस्वात्त
अग्निहोत्र
अग्निहोत्रिक
अग्निहोत्रिन्
अग्नीध्
अग्नीध्र
अग्नीषोम
अग्नीषोमीय
अग्नीषोमीयत्व
अग्नेयिका
अग्नौकरण
अग्न्यगार
अग्न्याधेय
अग्न्याहित
अग्न्युत्पात
अग्र
अग्रक
अग्रकर
अग्रग
अग्रगण्य
अग्रगामिन्
अग्रज
अग्रजन्मन्
अग्रजा
अग्रणी
अग्रतस्
अग्रता
अग्रथित
अग्रन्थि
अग्रन्थित
अग्रभुज्
अग्रमहिषी
अग्रयायिन्
अग्रयोधिन्
अग्ररूप
अग्रवक्र
अग्रवर्ति
अग्रशस्
अग्रसेन
अग्रस्त
अग्रह
अग्रहण
अग्रहणीय
अग्रहार
अग्राम्य
अग्राम्यता
अग्रासन
अग्राह
अग्राहिन्
अग्राह्य
अग्राह्यक
अग्रिम
अग्रिय
अग्रीभू
अग्रीय
अग्रीव
अग्रे
अग्रेण
अग्रेतन
अग्रेदिधिषु
अग्रेवध
अग्रेसर
अग्रोपहरणीय
अग्र्य
अग्र्यता
अग्र्या
अग्लान
अग्लानि
अघ
अघट
अघन
अघमर्षण
